ciudad;pais
BERLIN;ALEMANIA
LUDWINGSBURG;ALEMANIA
NUEVA YORK;ESTADOS UNIDOS
ONTARIO;CANADA
SYDNEY;AUTRALIA
SACRAMENTO;ESTADOS UNIDOS
COLOGNE;ALEMANIA
BILBAO;ESPANA
FOREST;BELGICA
TEXAS;ESTADOS UNIDOS
VINA DEL MAR;CHILE
VALENCIA;ESPANA
SANTIAGO;CHILE
BRUSELAS;BELGICA
BUENOS AIRES;ARGENTINA
MISLATA;ESPANA
AUCKLAND;NUEVA ZELANDA
MUNICH;ALEMANIA
VALPARAISO;CHILE
MADRID;ESPANA
TORONTO;CANADA
OSTEND;BELGICA
BARCELONA;ESPANA
RIO DE JANEIRO;BRASIL
BRASILIA;BRASIL
WASHINGTON DC;ESTADOS UNIDOS
LOS ANGELES;ESTADOS UNIDOS
FRANKFURT;ALEMANIA
WELLINGTON;NUEVA ZELANDA
LOWER HUTT;NUEVA ZELANDA
BOSTON;ESTADOS UNIDOS
BOGOTA;COLOMBIA
PHILADELPHIA;ESTADOS UNIDOS
SAO PAULO;BRASIL
HAMBURG;ALEMANIA
HAMILTON;CANADA
NELSON;NUEVA ZELANDA
HANOVER;ALEMANIA
MEDELLIN;COLOMBIA
OTTAWA;CANADA
