recinto;ciudad
Pabellon Max Schmeling;BERLIN
Arena Ludwingsburg;LUDWINGSBURG
Irving Plaza;NUEVA YORK
Thunder Bay;ONTARIO
Tarpeian Precinct Lawn;SYDNEY
Raley Field;SACRAMENTO
E-Werk;COLOGNE
Bilbao Arena;BILBAO
Forest National;FOREST
Don Haskins Center;TEXAS
Madison Square Garden;NUEVA YORK
Leons Centre;ONTARIO
Mercedes-Benz Arena;BERLIN
Quinta Vergara;VINA DEL MAR
Pabellon Fuente de San Luis;VALENCIA
Teatro Municipal de Santiago;SANTIAGO
Palais 12;BRUSELAS
Estadio Unico Diego Armando Maradona;BUENOS AIRES
Carrer Baix Vinalopo;MISLATA
Radio City Music Hall;NUEVA YORK
Spark Arena;AUCKLAND
Club Blondie;SANTIAGO
Club Subterraneo;SANTIAGO
Olympiahalle;MUNICH
Estadio Nacional de Santiago;SANTIAGO
Explanada Ciudad Empresarial;SANTIAGO
SALA SANTANA;BILBAO
El Huevo;VALPARAISO
Sala La Rivera;MADRID
HISTORY;TORONTO
Teatro Caupolican;SANTIAGO
UBS Arena;NUEVA YORK
Teatro Cariola;SANTIAGO
Estadio ANZ;SYDNEY
Estadio Bicentario de La Florida;SANTIAGO
Kursaal Oostende;OSTEND
LAUT;BARCELONA
Teatro Coliseo;SANTIAGO
Vivo Rio;RIO DE JANEIRO
Teatro Colon;BUENOS AIRES
SOF Q8 Toinha Brasil;BRASILIA
The Anthem;WASHINGTON DC
Youtube Theatre;LOS ANGELES
Festhalle;FRANKFURT
Powerstation 33;AUCKLAND
Club Providencia;SANTIAGO
Estadio Monumental de Buenos Aires;BUENOS AIRES
Studio The Venue;AUCKLAND
Estadio Rose Bowl;LOS ANGELES
Estadio Monumental de Santiago;SANTIAGO
Arena TSB Bank;WELLINGTON
Days Bay Pavilion;LOWER HUTT
Columbianhalle;BERLIN
Shubert Theatre;BOSTON
Sala Apolo;BARCELONA
Salitre Magico;BOGOTA
Teatro Teleton;SANTIAGO
Cirque Royal;BRUSELAS
The Fillmore Philadelphia;PHILADELPHIA
Warehouse Live;TEXAS
Jeunesse Arena;RIO DE JANEIRO
Espacio Unimed;SAO PAULO
Air Canada Centre;TORONTO
Opera de Sidney;SYDNEY
Metropol;BERLIN
Barclaycard Arena;HAMBURG
Parque Bicentenario Cerrillos;SANTIAGO
La Marina de Valencia;VALENCIA
Velodromo de Berlin;BERLIN
Estadio Nacional de Buenos Aires;BUENOS AIRES
Palau Sant Jordi;BARCELONA
FirstOntario Centre;HAMILTON
Club RBX;SANTIAGO
Carioca Club;SAO PAULO
Dodger Stadium;LOS ANGELES
Aotea Centre;AUCKLAND
Bikini Barcelona;BARCELONA
Movistar Arena de Buenos Aires;BUENOS AIRES
Trafalgar Centre Paru;NELSON
ZAG Arena;HANOVER
Stage Live, Kalea;BILBAO
Gran Arena Monticello;SANTIAGO
Freiheitshalle;MUNICH
Independance Club;MADRID
The Brooklyn Monarch;NUEVA YORK
Luna Park;BUENOS AIRES
Niceto Club;BUENOS AIRES
Metropolitano Rosario;BUENOS AIRES
Teatro Mayor;BOGOTA
Cupula Multiespacio;SANTIAGO
Antel Arena;BUENOS AIRES
Teatro Gran Rex;BUENOS AIRES
Moon Valencia;VALENCIA
Chango Club;MADRID
La Madeleine;BRUSELAS
Espacio Riesco;SANTIAGO
Lanxess Arena;COLOGNE
Crypto.com Arena;LOS ANGELES
Phoenix Concert Theatre;TORONTO
Aussie Stadium;SYDNEY
Casino de Vina del Mar;VINA DEL MAR
Teatro Municipal de Valparaiso;VALPARAISO
City Hall el Rodeo;MEDELLIN
Palacio de las Artes;VALENCIA
Hipodromo de Palermo;BUENOS AIRES
Movistar Arena de Santiago;SANTIAGO
Sala But;MADRID
WIZink Center;MADRID
Wilterm Theatre;LOS ANGELES
Estadio de Futbol Atanasio Girardot;MEDELLIN
Club Chocolate;SANTIAGO
Estadio Santa Laura;SANTIAGO
Fundo Colmito;VINA DEL MAR
Canadian Tire Centre;OTTAWA
